[HISTORYDETAIL],,,,,,,,,,
"入账日期	","入账时间	","转入金额	","转出金额	","余额	","对方单位	","对方账号	","对方行名	","摘要	","用途	","附言	"
"2021-01-30	","00:10:42	","	","10.00	","90,720.64	","	","	","	","跨行汇款手续费	","	","	"
